cluster,lat,lon,count
110,32.8761202247191,-16.45206966292135,89
116,42.55203529411765,18.24886274509804,51
118,36.41214054054054,28.009216216216213,74
122,36.04714113475177,14.281114184397163,141
125,44.814,-0.7132826086956522,46
127,52.344985496183206,13.498007633587786,131
129,63.97374545454546,-22.570336363636365,33
131,47.50072258064516,18.033535483870967,31
132,54.976884375,-1.6810453125,64
133,44.29322380952381,6.659038095238095,21
139,52.43729117647059,9.64089705882353,34
141,59.40825,10.558139285714287,28
144,51.417957692307695,12.199640384615385,52
154,44.799882278481014,20.295425316455695,79
156,54.61211791044776,25.173979104477613,67
157,52.422583720930234,16.80760465116279,43
158,55.52031754385965,12.545143859649123,57
160,50.053333333333335,5.862816666666667,24
165,40.744229750479846,-111.95796180422265,521
167,53.843494444444445,-1.7105416666666666,36
169,60.166815053763436,11.112691397849462,93
175,49.434250000000006,-2.599185,20
179,55.41676,-2.6170999999999998,20
180,51.39262905982906,-2.7068367521367525,117
181,36.835011111111115,-4.674261111111111,36
182,45.487132558139535,12.317267441860466,43
187,51.85204782608695,-8.477317391304348,23
194,44.778196875,-68.88378125,32
197,61.22764281767956,-149.84959696132597,362
200,32.022943636363635,34.75887272727273,55
202,59.33412033898305,24.723140677966104,59
203,63.45109090909091,10.906809090909093,33
207,40.527259016393444,22.965981967213114,61
239,-37.44301805929919,144.90570619946092,371
240,51.31251515151516,6.944393939393939,33
241,25.09578392857143,121.31828928571429,224
257,25.596059375,122.5391875,32
265,37.33314630872483,126.7462610738255,298
266,-27.339588444444445,153.0981568888889,225
270,22.569527118644068,120.33069830508474,59
273,18.725076923076923,99.01537948717949,39
276,5.993988571428572,116.05234571428572,35
287,45.54306303501945,-122.67909844357978,257
294,-34.95377297297298,138.53967297297297,74
296,-38.048502816901404,145.1705042253521,71
298,-32.925224,151.785416,25
300,-28.35952608695652,152.5642695652174,23
305,-41.30991818181818,174.78380606060605,33
314,21.266859887005648,-157.86291412429378,177
321,41.811274418604654,-111.85716162790696,86
322,39.05177142857143,-84.47253529411765,119
323,43.06242280701755,-77.69654912280701,57
324,32.26759034482758,-81.14438344827586,145
325,43.586105405405405,-96.71364324324324,37
326,35.38928405797101,-97.5855391304348,69
327,38.79515454545455,-94.7310818181818,22
330,38.71391857923497,-90.31903497267758,183
333,26.028482478632476,-80.3455064102564,234
334,32.302105,-106.949105,20
336,42.41839137931035,-90.67972672413792,116
339,44.86282795698925,-93.00420000000001,93
340,40.872566666666664,-96.76824761904761,21
342,30.028846551724136,-90.26789396551723,116
343,32.610882352941175,-85.49389705882353,34
348,27.338845,-80.30199999999999,40
350,42.43226222222222,-122.86397555555556,45
351,29.65191162790698,-98.58976046511629,43
353,44.134904545454546,-123.22682727272728,22
354,47.61034666666667,-117.53314,30
358,19.803725000000004,-156.08374285714285,56
359,33.03111071428571,-80.18209999999999,28
362,39.262006451612905,-94.80678387096773,31
365,42.933375999999996,-78.728308,25
370,35.430462790697675,-119.10492093023255,43
372,34.72611785714286,-117.44431071428572,28
373,35.05348076923077,-106.69182564102564,78
374,35.91085421686747,-78.84143253012049,83
379,37.30607,-80.01261500000001,20
381,43.052096,-89.126136,25
387,36.883481249999996,-76.22601458333334,48
391,51.094441438356164,-113.98220239726027,292
395,66.87721,-162.47083,20
397,20.647558333333333,-156.89439166666668,24
399,41.361239999999995,-83.63752571428572,35
412,27.367765217391305,-82.48341739130434,23
416,29.92675416666667,-95.43714479166665,96
418,37.449574999999996,-77.2039,20
423,40.4797462962963,-80.0630425925926,54
431,39.67840952380953,-86.32147142857143,42
443,64.81300999999999,-147.89546,20
446,49.975556701030925,-97.20514329896908,97
447,48.400175,-89.30721590909091,44
454,52.18166153846153,-106.70240769230769,26
458,-23.65129375,-46.63555972222222,144
459,-20.26965714285714,-40.27417142857143,21
460,-3.8640612903225806,-38.51319032258065,31
472,39.82182363636364,-75.39445818181818,55
474,38.10922333333333,-85.69956,30
480,39.606731034482756,2.8847965517241376,29
481,38.412819999999996,-0.89556,20
482,38.67022631578947,-9.190565789473684,38
494,41.337885,28.013425,20
498,40.95249677419355,46.8766,31
517,47.05825,-60.22837500000001,20
522,40.92110714285714,27.945217857142858,28
525,1.2070461538461539,103.93132692307692,26
536,2.533714285714286,101.87070000000001,21
537,-36.97725714285715,174.92028095238095,21
555,30.53537916666667,-81.74034166666667,24
556,39.98898285714286,-82.87733714285714,35
557,42.15693181818182,-83.42623863636364,44
560,35.073685714285716,-80.97626904761904,42
565,41.31749677419355,-81.94698387096774,31
584,45.376799999999996,-73.8639909090909,22
